        ID,Case Number,Block,IUCR,Primary Type,Description,Location Description,Arrest
10514462,HZ256372,073XX S EXCHANGE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,NURSING HOME/RETIREMENT HOME,FALSE
10515175,HZ257172,033XX W ADAMS ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE
10037589,HY227029,014XX N MASSASOIT AVE,           041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE
10077106,HY266148,009XX W BELMONT AVE,560,ASSAULT,SIMPLE,APARTMENT,TRUE
10111002,HY299741,015XX S HAMLIN AVE,            143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,FALSE
10238506,HY426302,055XX W OHIO ST,           051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE
10301916,HY469211,062XX W BARRY AVE,266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,TRUE
10160687,HY313819,052XX N MARMORA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE
10181647,HY215976,061XX S CHAMPLAIN AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,TRUE
10192026,HY360910,029XX W FLOURNOY ST,2027,NARCOTICS,POSS: CRACK,APARTMENT,TRUE
10203133,HY381916,054XX W WALTON ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,TRUE
10211492,HY257237,066XX S WASHTENAW AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE
10211589,HY340025,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE
10211597,HY334821,006XX W OHARE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,GOVERNMENT BUILDING/PROPERTY,TRUE
10211611,HY333584,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE
10211617,HY333517,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE
10211621,HY369125,075XX S STONY ISLAND AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,TRUE
10211623,HY331028,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE
10211630,HY323307,033XX W FILLMORE ST,2031,NARCOTICS,POSS: METHAMPHETAMINES,POLICE FACILITY/VEH PARKING LOT,TRUE
10212757,HY369072,007XX S KEDVALE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,TRUE
10212800,HY368655,005XX N LAWLER AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,TRUE
10213138,HY371827,013XX S HOMAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE
10213157,HY371446,014XX W 66TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE
10213250,HY371306,050XX W DIVISION ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE
10214240,HY370160,013XX N HUDSON AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10214258,HY370494,015XX E 76TH ST,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,TRUE
10214280,HY370501,0000X E 87TH ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,PARKING LOT/GARAGE(NON.RESID.),TRUE
10214340,HY373225,012XX S FAIRFIELD AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,TRUE
10217851,HY381066,013XX N LOCKWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE
10217898,HY381838,035XX N PULASKI RD,2022,NARCOTICS,POSS: COCAINE,RESIDENCE,TRUE
10218176,HY381348,015XX E 76TH PL,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE
10218922,HY234127,071XX S ASHLAND AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE
10218939,HY223482,089XX S CHAPPEL AVE,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE
10219118,HY389594,040XX W CRYSTAL ST,2027,NARCOTICS,POSS: CRACK,APARTMENT,TRUE
10219142,HY390021,017XX W 59TH ST,2015,NARCOTICS,MANU/DELIVER: HALLUCINOGEN,RESIDENCE,TRUE
10219174,HY390071,029XX W FIFTH AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10220005,HY391881,012XX S CANAL ST,2025,NARCOTICS,POSS: HALLUCINOGENS,PARKING LOT/GARAGE(NON.RESID.),TRUE
10220411,HY389888,027XX W LAKE ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,TRUE
10220449,HY389939,004XX N HARDING AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,STREET,TRUE
10220455,HY125030,083XX S PAXTON AVE,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE
10220576,HY390422,031XX W LEXINGTON ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,TRUE
10223408,HY198998,011XX S CENTRAL PARK AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10228811,HY233445,072XX S PHILLIPS AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,TRUE
10228833,HY241695,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE
10228909,HY191100,100XX W OHARE ST,2091,NARCOTICS,FORFEIT PROPERTY,AIRPORT/AIRCRAFT,TRUE
10228924,HY198913,100XX W OHARE ST,2091,NARCOTICS,FORFEIT PROPERTY,AIRPORT/AIRCRAFT,TRUE
10228948,HY241708,001XX W OHIO ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,HOTEL/MOTEL,TRUE
10228971,HY241862,055XX W ALTGELD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE
10228977,HY242864,070XX S MAY ST,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,TRUE
10228989,HY241600,008XX N ST LOUIS AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VACANT LOT/LAND,TRUE
10229493,HY217406,061XX S JUSTINE ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE
10230200,HY217221,034XX W LAKE ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VACANT LOT/LAND,TRUE
10230414,HY208097,041XX W WILCOX ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,TRUE
10230429,HY208009,040XX W VAN BUREN ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,TRUE
10230436,HY201482,013XX S INDEPENDENCE BLVD,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENCE PORCH/HALLWAY,TRUE
10230446,HY237099,068XX S PAULINA ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10230485,HY222355,043XX W VAN BUREN ST,2027,NARCOTICS,POSS: CRACK,APARTMENT,TRUE
10230489,HY218493,040XX W FIFTH AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,TRUE
10230493,HY219154,035XX W LEXINGTON ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10230498,HY219564,042XX W ADAMS ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,TRUE
10230511,HY222113,002XX N KARLOV AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10231348,HY324723,025XX W MARQUETTE RD,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,APARTMENT,TRUE
10234163,HY201000,017XX W 85TH ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE
10234300,HY208239,011XX S AUSTIN BLVD,2027,NARCOTICS,POSS: CRACK,APARTMENT,TRUE
10234312,HY209698,079XX S JUSTINE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE
10234325,HY217318,049XX W MAYPOLE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,TRUE
10234346,HY217377,063XX S HONORE ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE
10234360,HY219677,063XX S HONORE ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE
10234376,HY222049,044XX W MONROE ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,TRUE
10234389,HY222350,008XX S KARLOV AVE,2027,NARCOTICS,POSS: CRACK,APARTMENT,TRUE
10234395,HY223101,048XX W GRAND AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,VEHICLE NON-COMMERCIAL,TRUE
10234402,HY223202,013XX W 72ND PL,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE
10234421,HY223204,012XX W 71ST PL,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,TRUE
10234432,HY223542,0000X S SPRINGFIELD AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,TRUE
10234697,HY224266,028XX W DIVISION ST,2024,NARCOTICS,POSS: HEROIN(WHITE),PARK PROPERTY,TRUE
10234802,HY225349,046XX N BROADWAY,2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,SIDEWALK,TRUE
10234826,HY225404,013XX S MILLARD AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,TRUE
10234911,HY225562,078XX S LAFLIN ST,2027,NARCOTICS,POSS: CRACK,APARTMENT,TRUE
10234935,HY225876,040XX W VAN BUREN ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10234985,HY226072,016XX W 59TH ST,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,TRUE
10234997,HY226925,063XX S ASHLAND AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE
10235815,HY227302,071XX S ASHLAND AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),PARKING LOT/GARAGE(NON.RESID.),TRUE
10235896,HY228395,070XX S ADA ST,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,TRUE
